Date : 2023-02-05 00:07:56
Directory : c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin
Total : 98 files,  17463 codes, 787 comments, 1709 blanks, all 19959 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         46 |     15,791 |        548 |      1,425 |     17,764 |
| C++             |         16 |        502 |        107 |        170 |        779 |
| XML             |         10 |        490 |         34 |         10 |        534 |
| JSON            |          8 |        329 |          0 |          5 |        334 |
| Groovy          |          3 |         93 |          5 |         23 |        121 |
| YAML            |          2 |         60 |         74 |         24 |        158 |
| CSS             |          1 |         48 |          0 |          9 |         57 |
| Swift           |          4 |         46 |          3 |         12 |         61 |
| HTML            |          1 |         41 |         16 |          7 |         64 |
| CMake           |          2 |         37 |          0 |         12 |         49 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
| JavaScript      |          1 |          5 |          0 |          1 |          6 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                              |         98 |     17,463 |        787 |      1,709 |     19,959 |
| . (Files)                                                                                                                                                                      |          3 |         70 |         74 |         31 |        175 |
| android                                                                                                                                                                        |         13 |        226 |         37 |         32 |        295 |
| android (Files)                                                                                                                                                                |          3 |         39 |          0 |         10 |         49 |
| android\app                                                                                                                                                                    |          9 |        182 |         37 |         21 |        240 |
| android\app (Files)                                                                                                                                                            |          2 |        103 |          5 |         14 |        122 |
| android\app\src                                                                                                                                                                |          7 |         79 |         32 |          7 |        118 |
| android\app\src\debug                                                                                                                                                          |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                                                                                           |          5 |         71 |         24 |          5 |        100 |
| android\app\src\main (Files)                                                                                                                                                   |          1 |         32 |          6 |          1 |         39 |
| android\app\src\main\res                                                                                                                                                       |          4 |         39 |         18 |          4 |         61 |
| android\app\src\main\res\drawable                                                                                                                                              |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-v21                                                                                                                                          |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\values                                                                                                                                                |          1 |         12 |          9 |          1 |         22 |
| android\app\src\main\res\values-night                                                                                                                                          |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                                                        |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                                                                         |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                                                                            |          9 |        257 |          2 |         10 |        269 |
| ios (Files)                                                                                                                                                                    |          1 |          7 |          0 |          0 |          7 |
| ios\Runner                                                                                                                                                                     |          8 |        250 |          2 |         10 |        262 |
| ios\Runner (Files)                                                                                                                                                             |          2 |         13 |          0 |          3 |         16 |
| ios\Runner\Assets.xcassets                                                                                                                                                     |          4 |        169 |          0 |          5 |        174 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                                  |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                                                                                           |          1 |         21 |          0 |          1 |         22 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                                                                |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                                                          |          2 |         68 |          2 |          2 |         72 |
| lib                                                                                                                                                                            |         45 |     15,777 |        538 |      1,418 |     17,733 |
| lib (Files)                                                                                                                                                                    |          2 |        122 |         17 |         15 |        154 |
| lib\animation                                                                                                                                                                  |          2 |         67 |          1 |         18 |         86 |
| lib\classes                                                                                                                                                                    |          4 |        127 |         10 |         47 |        184 |
| lib\contents                                                                                                                                                                   |          8 |      4,120 |        110 |        302 |      4,532 |
| lib\pages                                                                                                                                                                      |         29 |     11,341 |        400 |      1,036 |     12,777 |
| lib\pages (Files)                                                                                                                                                              |         13 |      5,297 |        131 |        514 |      5,942 |
| lib\pages\reksadana                                                                                                                                                            |          1 |      1,365 |         78 |         41 |      1,484 |
| lib\pages\saham                                                                                                                                                                |          1 |        239 |         33 |         38 |        310 |
| lib\pages\tarikTunai                                                                                                                                                           |          3 |      1,295 |         27 |        155 |      1,477 |
| lib\pages\transaksi                                                                                                                                                            |          7 |      1,559 |         41 |         88 |      1,688 |
| lib\pages\transfer                                                                                                                                                             |          4 |      1,586 |         90 |        200 |      1,876 |
| linux                                                                                                                                                                          |          6 |        112 |         27 |         44 |        183 |
| linux (Files)                                                                                                                                                                  |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                                                                                  |          3 |         26 |          9 |         17 |         52 |
| macos                                                                                                                                                                          |          6 |        452 |          3 |         12 |        467 |
| macos (Files)                                                                                                                                                                  |          1 |          7 |          0 |          0 |          7 |
| macos\Flutter                                                                                                                                                                  |          1 |         14 |          3 |          4 |         21 |
| macos\Runner                                                                                                                                                                   |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                                                                                           |          2 |         20 |          0 |          6 |         26 |
| macos\Runner\Assets.xcassets                                                                                                                                                   |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                                |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                                                                        |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                                                                           |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                                                                            |          4 |        129 |         16 |         18 |        163 |
| web (Files)                                                                                                                                                                    |          2 |         76 |         16 |          8 |        100 |
| web\splash                                                                                                                                                                     |          2 |         53 |          0 |         10 |         63 |
| windows                                                                                                                                                                        |         11 |        426 |         80 |        137 |        643 |
| windows\flutter                                                                                                                                                                |          3 |         30 |          9 |         17 |         56 |
| windows\runner                                                                                                                                                                 |          8 |        396 |         71 |        120 |        587 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
